Transaction Date,Cheque Number,Description 1,Description 2,CAD$,USD$,description,predicted_category,corrected_category
12/26/2025,,GM REST BAHIA AGDAL MARRAKECH,30.0 MAD @ 0.154333,-4.63,,GM REST BAHIA AGDAL MARRAKECH,Unknown,
12/30/2025,,UberDirectCA_PASS Toronto,,-11.29,,UberDirectCA_PASS Toronto,Unknown,
1/5/2026,,FREDDY'S MEDITERRANEAN CU HAMILTON,,-15.82,,FREDDY'S MEDITERRANEAN CU HAMILTON,Unknown,
1/5/2026,,HOT&JUICY HAMILTON,,-12.66,,HOT&JUICY HAMILTON,Unknown,
1/5/2026,,THE ALLEY HAMILTON,,-7.96,,THE ALLEY HAMILTON,Unknown,
1/7/2026,,COCA COLA HAMILTON ON HAMILTON,,-7.0,,COCA COLA HAMILTON ON HAMILTON,Unknown,
1/8/2026,,PAYMENT - THANK YOU / PAI EMENT - MERCI,,1039.67,,PAYMENT - THANK YOU / PAI EMENT - MERCI,Unknown,
1/11/2026,,CHICHOP X NORI GO HAMILTON,,-3.38,,CHICHOP X NORI GO HAMILTON,Unknown,
1/22/2026,,MCMASTER HOSPITALITY SALE HAMILTON,,-6.27,,MCMASTER HOSPITALITY SALE HAMILTON,Unknown,
1/25/2026,,SP AUSMODSHOP 3781 BENTLEY,,-36.0,,SP AUSMODSHOP 3781 BENTLEY,Unknown,
2/2/2026,,Burnt Tongue Cannon Hamilton,,-15.99,,Burnt Tongue Cannon Hamilton,Unknown,
2/10/2026,,HANAMI HAMILTON,,-44.16,,HANAMI HAMILTON,Unknown,
2/11/2026,,PAYMENT - THANK YOU / PAI EMENT - MERCI,,1263.55,,PAYMENT - THANK YOU / PAI EMENT - MERCI,Unknown,
1/10/2026,,NOTIFY.CAREERS NOTIFY.CAREER,5.0 USD @ 1.426,-7.13,,NOTIFY.CAREERS NOTIFY.CAREER,Utilities / Subscriptions,
2/10/2026,,NOTIFY.CAREERS NOTIFY.CAREER,5.0 USD @ 1.402,-7.01,,NOTIFY.CAREERS NOTIFY.CAREER,Utilities / Subscriptions,
12/28/2025,,HAMILTON BIKE SHARE/SO HAMILTON,,-18.08,,HAMILTON BIKE SHARE/SO HAMILTON,Transportation,
1/2/2026,,CIRCLE K VAUGHAN,,-75.0,,CIRCLE K VAUGHAN,Transportation,
1/3/2026,,ONROUTE BARRIE,,-4.08,,ONROUTE BARRIE,Transportation,
1/4/2026,,SHELL C22382 RICHMOND HILL,,-62.76,,SHELL C22382 RICHMOND HILL,Transportation,
1/5/2026,,UBER CANADA/UBERTRIP TORONTO,,-14.79,,UBER CANADA/UBERTRIP TORONTO,Transportation,
1/5/2026,,UBER CANADA/UBERTRIP TORONTO,,-15.54,,UBER CANADA/UBERTRIP TORONTO,Transportation,
1/14/2026,,LYFT   *RIDE WED 9AM VANCOUVER,,-13.49,,LYFT   *RIDE WED 9AM VANCOUVER,Transportation,
1/16/2026,,UBER CANADA/UBERTRIP TORONTO,,-14.46,,UBER CANADA/UBERTRIP TORONTO,Transportation,
1/17/2026,,PETRO-CANADA 05368 BARRIE,,-4.84,,PETRO-CANADA 05368 BARRIE,Transportation,
